	Bacillus_subtilis
344	0.9987432692400645
347	0.9989942673237454
349	0.28390032938573334
351	0.9994127276597932
353	0.928045515394913
354	0.9700029791561796
355	0.999314810373771
359	0.9983935742971888
360	0.9985957745579881
374	0.9988188046302859
382	0.9994306617134235
383	0.9991417045747146
384	0.999492862033116
385	0.9990426041168023
389	0.9993551715243745
390	0.9988018531338198
404	0.9824412118265191
405	0.9993983514830636
406	0.9989519650655022
410	0.9992024246291275
411	0.9993127997910911
412	0.9990083005246091
418	0.9992433795712484
420	0.9336506940085094
421	0.9314672512225086
422	0.9991454908620929
423	0.9990230558812035
424	0.9991825241836596
426	0.9992123841846744
428	0.9988479115196047
434	0.9991868927104931
440	0.9988676766990512
441	0.8989042845911949
444	0.9992435131250472
445	0.9986735787949463
448	0.012595203470459193
456	0.999469017150746
457	0.9989927782198363
458	0.9494097807757167
459	0.5505271391272736
461	0.998680947607239
466	0.9990461655856543
474	0.9993484068547599
479	0.9990811441592929
484	0.9988733029125121
487	0.9272313438826635
491	0.9984188973390042
499	0.9990688868542342
500	0.9991588863655481
503	0.9985909142148575
504	0.9995562310704815
508	0.9994812134417597
510	0.9992436911234549
517	0.9990408593899865
519	0.9081581362821801
521	0.9987244717187035
524	0.9993298485457713
528	0.9996136659240468
537	0.9995918478408752
540	0.9991633199464525
541	0.9995855122722909
542	0.999377961164042
543	0.9990716500492026
545	0.9995798107467603
547	0.9991875203119922
549	0.9991254919108001
557	0.9992143203216048
558	0.9990259819319649
567	0.9988161350036592
569	0.9991774511954377
571	0.9995071706667981
575	0.9996488640752836
586	0.9993587688361655
588	0.9990286546867412
591	0.6290236819501819
592	0.9972323191320553
596	0.9753001168596621
599	0.9996225382415943
604	0.999144403328271
607	0.19236143455985097
615	0.998390212491951
617	0.9985625816034401
619	0.99868527729693
629	0.4643820561494655
633	0.9994367413610206
640	0.9990255785627283
641	0.9990186553615765
649	0.8549760510910058
654	0.9144230671504507
658	0.1633530650065672
665	0.14278161175422976
670	0.8949831320056589
673	0.9987308678325761
674	0.9994622716334842
675	0.9993368113891591
677	0.9989372555687809
683	0.9992423668459732
688	0.7090116651711319
689	0.9982857632639067
691	0.9995017645837658
695	0.9990276945016123
696	0.9197373221452024
700	0.9993319527022513
702	0.9994959042218021
709	0.9994194105565676
711	0.999102656137832
712	0.9997171105673347
716	0.9993342653618268
717	0.9994742445551451
719	0.9988869823308445
721	0.8082855883649185
724	0.9993185364889636
725	0.9988269106692474
728	0.9934627283441367
735	0.998828422470857
737	0.9040867935900627
738	0.9994848613633143
739	0.9990056182568489
740	0.96684350132626
742	0.9993833314490683
743	0.9776656539351852
749	0.9985651082147554
750	0.999338653498523
751	0.9992123891191557
754	0.9994290347261079
755	0.9993930860361234
757	0.9152369892370132
761	0.9993904792864544
762	0.9991923325436141
766	0.9991382281971734
769	0.9990925589836661
772	0.9983845781056486
784	0.9986442349171134
785	0.9988574330328805
794	0.9988015945100414
797	0.9034691345727196
802	0.9992772564655432
803	0.9999101608121462
805	0.9994020450060792
806	0.9986880083967462
807	0.9990503740065451
808	0.9988981778616387
810	0.9602896519504789
813	0.9994979062691423
815	0.9992009588493808
816	0.999060363795817
819	0.25977830228441373
823	0.99893721603741
826	0.9995690707729433
827	0.9984340076591262
828	0.3515596429684008
829	0.6740877354762218
832	0.16999730066264376
834	0.9992373747388009
836	0.998966104121268
840	0.9991602989335796
841	0.9987297644418726
843	0.9989612871729354
844	0.9842689186951482
848	0.9992482239290323
850	0.999030444056622
858	0.9996066089693156
865	0.9984759582412558
867	0.9991703654540175
871	0.9996153994077152
872	0.9992253466573708
875	0.9995322293947049
